,Test,Time,Mdn DNS (ms),Mdn SSL (ms),Avg Time To First Byte (ms),Mdn Webpage Response (ms),Mdn Render Start (ms),Avg Image Bytes,Avg Script Bytes,Avg Css Bytes,% Availability,# Runs
126,[204709] - trip.com,11/11/2017 12:00,291,,418.42,9438.5,1043.5,768030.08,555432.17,10765.5,100,12
127,[204709] - trip.com,11/11/2017 14:00,279.5,,470,8825,1393,767678.33,581206.83,10767.58,91.667,12
128,[204709] - trip.com,11/11/2017 16:00,209,,361,9682.5,1247.5,709184.67,547671.25,10766.75,91.667,12
129,[204709] - trip.com,11/11/2017 18:00,207,,379.58,8591.5,1348,770863.33,578629.17,10759.08,100,12
130,[204709] - trip.com,11/11/2017 20:00,347,,498.42,10909.5,1548,830558.08,581090.67,10769.08,100,12
131,[204709] - trip.com,11/11/2017 22:00,269.5,,434,9682.5,1346,706352.5,584706.25,10762.17,100,12
132,[204709] - trip.com,11/12/2017 0:00,228.5,,354.5,8343,1647,676400.17,560396.08,10761,91.667,12
133,[204709] - trip.com,11/12/2017 2:00,275.5,,655.17,9508.5,1444.5,801132.75,551169.17,10766.5,100,12
134,[204709] - trip.com,11/12/2017 4:00,259,,377,8866.5,1343.5,697521.17,584025.83,10767.33,100,12
135,[204709] - trip.com,11/12/2017 6:00,309.5,,678.17,8966,1353,694576.67,584735.83,10764.58,91.667,12
136,[204709] - trip.com,11/12/2017 8:00,366.5,,1031.92,10053.5,1246,751522.67,580792.08,10759.83,100,12
137,[204709] - trip.com,11/12/2017 10:00,262,,452.17,8883.5,1248,797087.5,582040.5,10770.33,100,12
138,[204709] - trip.com,11/12/2017 12:00,301,,1136.17,9809,1425,712339.91,581899.64,10762.82,91.667,12
139,[204709] - trip.com,11/12/2017 14:00,157.5,,942.75,9692.5,1295,767944,542485.91,10767.18,83.333,12
140,[204709] - trip.com,11/12/2017 16:00,330,,539.92,9438.5,1294.5,761241.25,582009.58,10761.58,100,12
141,[204709] - trip.com,11/12/2017 18:00,282,,442.83,9161.5,1500,754449.08,581959.5,10769,83.333,12
142,[204709] - trip.com,11/12/2017 20:00,154.5,,251.08,9911,1147,647330.75,584573.75,10766.5,100,12
143,[204709] - trip.com,11/12/2017 22:00,272.5,,500.75,9403,1444.5,694757.33,581073.17,10758.83,100,12
144,[204709] - trip.com,11/13/2017 0:00,301,,494.25,9071.5,1037.5,723359.08,553017.92,10766.08,100,12
145,[204709] - trip.com,11/13/2017 2:00,248.5,,402.83,8016.5,1542.5,668743.17,581541,10772.67,100,12
146,[204709] - trip.com,11/13/2017 4:00,183.5,,655.92,8348,1097,616528.75,579921.33,10766.67,100,12
147,[204709] - trip.com,11/13/2017 6:00,274,,723.08,10438,1297.5,679683.33,581996.92,10761.67,100,12
148,[204709] - trip.com,11/13/2017 8:00,323,,505,10323,1246,750436,586865.42,10772.25,91.667,12
149,[204709] - trip.com,11/13/2017 10:00,301,,726.83,9356,1199,612681.58,583133.17,10767.58,100,12
150,[204709] - trip.com,11/13/2017 12:00,349,,877.08,11303,1297.5,656332.33,550084.83,10764.92,91.667,12
151,[204709] - trip.com,11/13/2017 14:00,198,,568.75,9552,1246.5,729618.42,582298.58,10762.5,100,12
152,[204709] - trip.com,11/13/2017 16:00,257.5,,748,10059.5,1098.5,752519.08,578505.67,10772.58,91.667,12
153,[204709] - trip.com,11/13/2017 18:00,356,,424.67,9374.5,1496,613110.42,579444.92,10767.58,100,12
154,[204709] - trip.com,11/13/2017 20:00,200,,970.75,9160,1198.5,597079.42,547470.33,10763.92,100,12
155,[204709] - trip.com,11/13/2017 22:00,215.5,,391.33,9330,1083,690492.83,545040.25,10766,100,12
156,[204709] - trip.com,11/14/2017 0:00,244,,407.67,8265,1245.5,661129.5,584861.42,10771.42,100,12
157,[204709] - trip.com,11/14/2017 2:00,267.5,,995,8204,1083,627312.09,581245.82,10766.73,83.333,12
158,[204709] - trip.com,11/14/2017 4:00,270,,1043.42,10128,1147.5,635596.58,544571.58,10763.25,91.667,12
159,[204709] - trip.com,11/14/2017 6:00,397.5,,501.92,10261.5,1448.5,732136,578661.33,10769.42,100,12
160,[204709] - trip.com,11/14/2017 8:00,287,,620,10022,1199,664665.55,581183.64,10766.55,100,11
161,[204709] - trip.com,11/14/2017 10:00,258,,734.92,9145.5,1337.5,606797.92,548860.25,10764.42,91.667,12
162,[204709] - trip.com,11/14/2017 12:00,232.5,,487.75,9719.5,1002.5,773409.75,581987.33,10762.58,100,12
163,[204709] - trip.com,11/14/2017 14:00,327.5,,484.92,9636,1245.5,704946.42,580324.75,10772.5,91.667,12
164,[204709] - trip.com,11/14/2017 16:00,235.5,,327.92,9755.5,1150,651048.83,582668.08,10767.08,100,12
165,[204709] - trip.com,11/14/2017 18:00,238.5,,924.92,10665,1348,673905.25,578599,10762.83,100,12
166,[204709] - trip.com,11/14/2017 20:00,262,,402.75,9996.5,1088.5,694853.83,582691.83,10764,100,12
167,[204709] - trip.com,11/14/2017 22:00,383,,762.73,9899,1503,658647.91,586573.55,10767.18,90.909,11
168,[204709] - trip.com,11/15/2017 0:00,261,,701.5,8167.5,1197.5,589700.75,578680.67,10766.25,100,12
169,[204709] - trip.com,11/15/2017 2:00,275.5,,1053.67,10013.5,1099.5,645226.42,582014.42,10761.73,100,12
170,[204709] - trip.com,11/15/2017 4:00,274,,465.5,9430.5,1403,711625.17,580732.75,10767.33,100,12
171,[204709] - trip.com,11/15/2017 6:00,314,,733.92,9830,1136.5,590430.33,581564.67,10763.58,100,12
172,[204709] - trip.com,11/15/2017 8:00,218.5,,626.5,9631,1015.5,613477.17,547335.5,10769,91.667,12
173,[204709] - trip.com,11/15/2017 10:00,254.5,,453,8534,1094.5,671097.17,584494.67,10759.92,100,12
174,[204709] - trip.com,11/15/2017 12:00,384,,731.42,9446,1394.5,703021.5,581104.5,10764.75,91.667,12
175,[204709] - trip.com,11/15/2017 14:00,365,,1088.83,10209.5,1095.5,575941.92,582975.92,10766.67,100,12
176,[204709] - trip.com,11/15/2017 16:00,154.5,,905.25,9005,896,610970.42,579800.25,10760.58,100,12
177,[204709] - trip.com,11/15/2017 18:00,372,,453.92,10551,1195,717455,582412.17,10764.17,100,12
178,[204709] - trip.com,11/15/2017 20:00,312,,592.17,9181,1499.5,655033,582431.42,10766,100,12
179,[204709] - trip.com,11/15/2017 22:00,234.5,,335.17,9015.5,1293.5,640336.08,580183.42,10765.67,100,12
180,[204709] - trip.com,11/16/2017 0:00,231,,369.92,9299,997.5,742130.58,579554.67,10760.17,100,12
181,[204709] - trip.com,11/16/2017 2:00,329.5,,838.75,9680,1248.5,763533.83,578596.33,10767.5,91.667,12
182,[204709] - trip.com,11/16/2017 4:00,235,,351.5,9610.5,1053.5,605424,583409.83,10765.42,100,12
183,[204709] - trip.com,11/16/2017 6:00,195,,982,9610,1399,672274.17,574549.92,10766.67,100,12
184,[204709] - trip.com,11/16/2017 8:00,247.5,,402.08,9573.5,1196.5,712324,578643.83,10760.92,100,12
185,[204709] - trip.com,11/16/2017 10:00,426.5,,877.83,8266,1294.5,661693.5,581555.25,10769.58,91.667,12
186,[204709] - trip.com,11/16/2017 12:00,298,,518.42,10460.5,1313,610230.5,579277.67,10768.58,100,12
187,[204709] - trip.com,11/16/2017 14:00,199,,893.75,10913,1247.5,636158.33,583517.42,10762.17,100,12
188,[204709] - trip.com,11/16/2017 16:00,354.5,,561.83,10816,1447,704076.42,515846.25,10765,100,12
189,[204709] - trip.com,11/16/2017 18:00,310,,1142.17,18378.5,1342,762851.08,530194.33,10766.75,66.667,12
190,[204709] - trip.com,11/16/2017 20:00,260,,788,10348.5,1349,679483.08,544040.83,10766.58,91.667,12
191,[204709] - trip.com,11/16/2017 22:00,367.5,,381.92,11419.5,1092.5,740346.67,540472,10757.58,83.333,12
192,[204709] - trip.com,11/17/2017 0:00,275.5,,361.33,30094,1946.5,598122.33,388817.4,10762.75,25,12
193,[204709] - trip.com,11/17/2017 2:00,283,,534.42,10669.5,1099,625827.42,539529.33,10763.73,83.333,12
194,[204709] - trip.com,11/17/2017 4:00,245,,372.33,8778,1048,731788.58,583130.75,10762,100,12
195,[204709] - trip.com,11/17/2017 6:00,421,,896.67,10416.5,1282,810345.25,584047.25,10760.25,100,12
196,[204709] - trip.com,11/17/2017 8:00,417.5,,563.25,8119,1244.5,674640.67,596081.82,10772.42,91.667,12
197,[204709] - trip.com,11/17/2017 10:00,158,,645.42,7752,1050,659482,581723.67,10765.83,100,12
198,[204709] - trip.com,11/17/2017 12:00,196,,1376.58,8123,1197,672452.73,583328.45,10761.55,91.667,12
199,[204709] - trip.com,11/17/2017 14:00,262.5,,391.58,8846,1100.5,686751.25,547723.83,10763.67,91.667,12
200,[204709] - trip.com,11/17/2017 16:00,292.5,,385.5,9666.5,1102.5,734407.5,581846.17,10773.33,83.333,12
201,[204709] - trip.com,11/17/2017 18:00,214,,289.83,9701.5,1058.5,698675.92,584389.83,10764.25,100,12
202,[204709] - trip.com,11/17/2017 20:00,161.5,,358.92,9381.5,1049,737013.5,554295.5,10762.83,91.667,12
203,[204709] - trip.com,11/17/2017 22:00,445,,868.55,9282,1491,681071.64,563459.45,10765.82,90.909,11
204,[204709] - trip.com,11/18/2017 0:00,276,,419.85,9631,1493,696000.77,580139.15,10766.62,100,13
205,[204709] - trip.com,11/18/2017 2:00,346,,658.75,8983,1345.5,692074.58,547863.33,10764.33,91.667,12
206,[204709] - trip.com,11/18/2017 4:00,208.5,,330.25,8397.5,999,747258.08,584963.75,10760.58,100,12
207,[204709] - trip.com,11/18/2017 6:00,376.5,,429.67,8762.5,1393,649306.5,545414.67,10771.33,91.667,12
208,[204709] - trip.com,11/18/2017 8:00,280.5,,370.08,7829,1194.5,671643.92,580551.42,10767.17,100,12
209,[204709] - trip.com,11/18/2017 10:00,229.5,,777,7535.5,1004,694659.92,580373.83,10761.75,100,12
210,[204709] - trip.com,11/18/2017 12:00,319,,477.67,9912.5,1047.5,771682.5,593946.17,10766.17,100,12
211,[204709] - trip.com,11/18/2017 14:00,397,,463.5,9031,1299.5,671223.5,580626.25,10769.92,91.667,12
212,[204709] - trip.com,11/18/2017 16:00,216,,570.25,9853,1151,747019.25,583111.83,10763.25,100,12
213,[204709] - trip.com,11/18/2017 18:00,214,,646.17,9624.5,1047,796943.25,552797.5,10761.42,100,12
214,[204709] - trip.com,11/18/2017 20:00,270,,451,8764,1396,705135.83,561571.5,10770.17,91.667,12
215,[204709] - trip.com,11/18/2017 22:00,319.5,,407.67,8997,1396.5,719126.58,549224.58,10765.25,91.667,12
216,[204709] - trip.com,11/19/2017 0:00,251,,382.67,8679.5,1246.5,752621.67,586740.75,10759.58,100,12
217,[204709] - trip.com,11/19/2017 2:00,264.5,,437.42,12189,962,829609.58,561548.75,10766.17,91.667,12
218,[204709] - trip.com,11/19/2017 4:00,284,,545.75,9060.5,1052.5,762788.58,580603,10771.58,91.667,12
219,[204709] - trip.com,11/19/2017 6:00,353,,466.92,10588.5,1198.5,822994.5,585613.25,10763.25,100,12
220,[204709] - trip.com,11/19/2017 8:00,324,,1443.33,10100,1097,847687.27,583008.09,10762.09,91.667,12
221,[204709] - trip.com,11/19/2017 10:00,266.5,,416.58,9365.5,1040.5,791123.25,579107.08,10772.92,91.667,12
222,[204709] - trip.com,11/19/2017 12:00,283.5,,385.5,9689,1053,754758.17,582676.83,10767.25,100,12
223,[204709] - trip.com,11/19/2017 14:00,228,,1402.5,10416.5,1198,797711.09,583640.09,10763.27,91.667,12
224,[204709] - trip.com,11/19/2017 16:00,215,,344.75,9600.5,947.5,793016.08,552803.92,10761.08,100,12
225,[204709] - trip.com,11/19/2017 18:00,284.5,,387.83,9209.5,1355,780485.92,576783,10856.17,91.667,12
226,[204709] - trip.com,11/19/2017 20:00,215,,318.75,9190.5,1195,739893,582934.33,10763.92,100,12
227,[204709] - trip.com,11/19/2017 22:00,213,,625.17,10005,1248,799839.08,562351.83,10765.33,100,12
228,[204709] - trip.com,11/20/2017 0:00,306,,466.5,10354,1401.5,820155.58,583371.17,10766.83,100,12
229,[204709] - trip.com,11/20/2017 2:00,347.5,,522.17,8180,1371.5,711700.67,547761.08,10768.33,91.667,12
230,[204709] - trip.com,11/20/2017 4:00,211,,304.75,9396.5,1146,742429.92,582151.08,10768.33,100,12
231,[204709] - trip.com,11/20/2017 6:00,272.5,,425.58,8045.5,1397.5,772751.08,581966.17,10761.42,100,12
232,[204709] - trip.com,11/20/2017 8:00,342,,495.5,9138,1489,792880.33,601373.42,11079.42,91.667,12
233,[204709] - trip.com,11/20/2017 10:00,251,,401.5,8654.5,945.5,746247.42,577416.75,10763.83,100,12
234,[204709] - trip.com,11/20/2017 12:00,526.5,,1938.08,9012,1550.5,770393.25,578038.33,10762.17,91.667,12
